City,Station,Address,Regular,Regular Updated,Midgrade,Midgrade Updated,Premium,Premium Updated,Diesel,Diesel Updated
La Mirada,EGas,15754 Imperial Hwy,3.75,,,,,,,
La Mirada,ARCO,15700 Valley View Ave,3.83,,,,,,,
La Mirada,76,15003 Imperial Hwy,4.29,,,,,,,
La Mirada,Shell,14910 Beach Blvd,4.43,,,,,,,
La Mirada,Chevron,15354 La Mirada Blvd,4.79,,,,,,,
La Mirada,Chevron,14021 Valley View Ave,4.85,,,,,,,
La Mirada,ARCO,E85 Fuel Prices,3.75,,,,,,,
La Mirada,76,E85 Fuel Prices,3.75,,,,,,,
La Mirada,Shell,E85 Fuel Prices,3.75,,,,,,,
La Habra,Berri Brothers,619 E La Habra Blvd,3.89,,,,,,,
La Habra,ARCO,1401 E Lambert Rd,3.89,,,,,,,
La Habra,Sam's Club,1390 S Beach Blvd,3.95,,,,,,,
La Habra,Costco,101 N Beach Blvd,3.99,,,,,,,
La Habra,G&M,1950 W La Habra Blvd,4.09,,,,,,,
La Habra,Speedway,101 E Whittier Blvd,4.29,,,,,,,
La Habra,Shell,101 E Imperial Hwy,4.55,,,,,,,
La Habra,76,601 W Imperial Hwy,4.55,,,,,,,
La Habra,Chevron,110 S Harbor Blvd,4.69,,,,,,,
La Habra,Chevron,101 E Lambert Rd,4.69,,,,,,,
