Run Timestamp,City,Station,Address,Regular,Regular Updated,Midgrade,Midgrade Updated,Premium,Premium Updated,Diesel,Diesel Updated
2026-02-18_14-32-00,La Mirada,EGas,15754 Imperial Hwy,3.95,,4.09,,4.15,,4.79,
2026-02-18_14-32-00,La Mirada,ARCO,15700 Valley View Ave,3.97,,4.11,,4.23,,4.79,
2026-02-18_14-32-00,La Mirada,ARCO,13550 S Beach Blvd,4.19,,4.09,,4.15,,,
2026-02-18_14-32-00,La Mirada,Shell,14910 Beach Blvd,4.47,,4.67,,4.87,,5.05,
2026-02-18_14-32-00,La Mirada,Chevron,15354 La Mirada Blvd,4.79,,4.09,,5.09,,,
2026-02-18_14-32-00,La Mirada,Shell,14204 Rosecrans Ave,4.93,,4.09,,4.15,,5.29,
2026-02-18_14-32-00,La Mirada,Chevron,14021 Valley View Ave,4.95,,4.09,,4.15,,,
2026-02-18_14-32-00,La Mirada,76,E85 Fuel Prices,3.95,,4.09,,4.15,,4.79,
2026-02-18_14-32-00,La Mirada,76,E85 Fuel Prices,3.95,,4.09,,4.15,,,
2026-02-18_14-32-00,La Habra,ARCO,1401 E Lambert Rd,3.99,,4.19,,4.39,,4.89,
2026-02-18_14-32-00,La Habra,Sam's Club,1390 S Beach Blvd,4.04,,,,4.34,,,
2026-02-18_14-32-00,La Habra,Costco,101 N Beach Blvd,4.05,,,,4.34,,,
2026-02-18_14-32-00,La Habra,Berri Brothers,619 E La Habra Blvd,4.05,,4.25,,4.35,,4.55,
2026-02-18_14-32-00,La Habra,G&M,1950 W La Habra Blvd,4.29,,4.49,,4.59,,4.59,
2026-02-18_14-32-00,La Habra,Speedway,101 E Whittier Blvd,4.39,,4.59,,4.69,,,
2026-02-18_14-32-00,La Habra,Shell,101 E Imperial Hwy,4.54,,4.74,,4.84,,4.79,
2026-02-18_14-32-00,La Habra,76,601 W Imperial Hwy,4.59,,4.79,,4.93,,4.95,
2026-02-18_14-32-00,La Habra,Chevron,1150 W La Habra Blvd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,La Habra,Chevron,101 E Lambert Rd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,La Habra,Chevron,110 S Harbor Blvd,,,4.89,,,,4.79,
2026-02-18_14-32-00,La Habra,Speedway,"Top 10 Gas Station & Cheap Fuel Prices in La Habra, CA",,,4.19,,,,,
2026-02-18_14-32-00,La Habra,ARCO,"Top 10 Gas Station & Cheap Fuel Prices in La Habra, CA",,,,,,,4.55,
2026-02-18_14-32-00,La Habra,76,"Top 10 Gas Station & Cheap Fuel Prices in La Habra, CA",,,,,,,4.55,
2026-02-18_14-32-00,Whittier,Super 8,10802 Whittier Blvd,3.89,,4.05,,4.25,,,
2026-02-18_14-32-00,Whittier,76,8803 Painter Ave,3.89,,4.09,,4.29,,,
2026-02-18_14-32-00,Whittier,ARCO,13010 E Lambert Rd,3.99,,4.19,,4.39,,,
2026-02-18_14-32-00,Whittier,ARCO,12525 Hadley St,3.99,,4.19,,4.39,,,
2026-02-18_14-32-00,Whittier,G&M,12559 Lambert Rd,4.29,,4.49,,4.59,,4.59,
2026-02-18_14-32-00,Whittier,Mobil,11253 E Whittier Blvd,4.67,,,,,,,
2026-02-18_14-32-00,Whittier,Chevron,12911 Whittier Blvd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,Whittier,Chevron,15735 Leffingwell Rd,4.69,,4.89,,5.09,,4.89,
2026-02-18_14-32-00,Whittier,76,13709 E Whittier Blvd,4.79,,,,,,4.59,
2026-02-18_14-32-00,Whittier,Chevron,10808 E Beverly Blvd,4.89,,,,5.29,,,
2026-02-18_14-32-00,Whittier,Chevron,14941 E Whittier Blvd,,,5.19,,5.39,,4.99,
2026-02-18_14-32-00,Whittier,ARCO,"Top 10 Gas Station & Cheap Fuel Prices in Whittier, CA",,,4.05,,4.25,,,
2026-02-18_14-32-00,Whittier,ARCO,"Top 10 Gas Station & Cheap Fuel Prices in Whittier, CA",,,4.05,,,,,
2026-02-18_14-32-00,Santa Fe Springs,ARCO,10717 Carmenita Rd,3.99,,4.19,,4.39,,,
2026-02-18_14-32-00,Santa Fe Springs,Chevron,11770 E Washington Blvd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,Santa Fe Springs,Chevron,13363 Telegraph Rd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,Santa Fe Springs,Shell,13352 Imperial Hwy,4.79,,4.99,,5.19,,4.89,
2026-02-18_14-32-00,Santa Fe Springs,Chevron,11426 Telegraph Rd,4.95,,4.19,,5.37,,,
2026-02-18_14-32-00,Santa Fe Springs,Mobil,11405 Florence Ave,4.99,,4.19,,4.39,,5.09,
2026-02-18_14-32-00,Santa Fe Springs,ARCO,E85 Fuel Prices,3.99,,4.19,,4.39,,,
2026-02-18_14-32-00,Santa Fe Springs,REG - C NRG Fleet,E85 Fuel Prices,3.99,,4.19,,4.39,,4.99,
2026-02-18_14-32-00,Santa Fe Springs,76,E85 Fuel Prices,3.99,,4.19,,4.39,,4.79,
2026-02-18_14-32-00,Santa Fe Springs,US Fleet Services,E85 Fuel Prices,,,,,,,4.79,
2026-02-18_14-32-00,Buena Park,E-Z Gas,6000 Orangethorpe Ave,3.93,,4.13,,4.33,,4.65,
2026-02-18_14-32-00,Buena Park,Speedway Express,7510 Orangethorpe Ave,4.13,,4.33,,4.43,,,
2026-02-18_14-32-00,Buena Park,ARCO,7990 S Knott Ave,4.19,,4.29,,4.39,,,
2026-02-18_14-32-00,Buena Park,7-Eleven,8495 Western Ave,4.33,,4.63,,4.83,,4.64,
2026-02-18_14-32-00,Buena Park,76,7760 Crescent Ave,4.49,,4.64,,4.79,,,
2026-02-18_14-32-00,Buena Park,Valero,5231 Beach Blvd,4.51,,4.71,,4.86,,,
2026-02-18_14-32-00,Buena Park,76,5262 Beach Blvd,4.54,,4.74,,4.93,,4.64,
2026-02-18_14-32-00,Buena Park,Chevron,7250 Artesia Blvd,4.57,,,,,,4.89,
2026-02-18_14-32-00,Buena Park,Chevron,7990 Valley View St,4.59,,4.79,,4.99,,4.69,
2026-02-18_14-32-00,Buena Park,Chevron,6971 Beach Blvd,4.59,,4.79,,4.99,,4.69,
2026-02-18_14-32-00,Buena Park,Mobil,8510 Knott Ave,,,4.79,,4.99,,4.79,
2026-02-18_14-32-00,Buena Park,Chevron,"Top 10 Gas Station & Cheap Fuel Prices in Buena Park, CA",,,,,,,4.64,
2026-02-18_14-32-00,Buena Park,Lucky Food and Fuel Inc,"Top 10 Gas Station & Cheap Fuel Prices in Buena Park, CA",,,,,,,4.64,
2026-02-18_14-32-00,Buena Park,76,"Top 10 Gas Station & Cheap Fuel Prices in Buena Park, CA",,,,,,,4.64,
2026-02-18_14-32-00,Norwalk,ARCO,10602 E Imperial Hwy,3.89,,4.09,,4.29,,4.89,
2026-02-18_14-32-00,Norwalk,Costco,12324 Hoxie Ave,3.93,,,,4.29,,,
2026-02-18_14-32-00,Norwalk,7-Eleven,11461 Firestone Blvd,4.15,,4.45,,4.65,,,
2026-02-18_14-32-00,Norwalk,7-Eleven,10962 Alondra Blvd,4.49,,4.79,,4.99,,,
2026-02-18_14-32-00,Norwalk,Shell,11821 Rosecrans Ave,4.59,,4.89,,5.09,,5.59,
2026-02-18_14-32-00,Norwalk,76,11353 Imperial Hwy,4.59,,4.79,,4.94,,,
2026-02-18_14-32-00,Norwalk,Chevron,10641 Firestone Blvd,4.63,,4.83,,5.03,,4.77,
2026-02-18_14-32-00,Norwalk,Chevron,12042 E Firestone Blvd,4.69,,4.89,,5.07,,4.77,
2026-02-18_14-32-00,Norwalk,Chevron,10951 Imperial Hwy,4.69,,4.89,,5.09,,,
2026-02-18_14-32-00,Norwalk,Chevron,10916 Rosecrans Ave,4.89,,5.09,,5.29,,4.79,
2026-02-18_14-32-00,Norwalk,Chevron,12155 Imperial Hwy,,,5.09,,,,5.09,
2026-02-18_14-32-00,Norwalk,Shell,10710 Alondra Ave,,,,,,,5.15,
2026-02-18_14-32-00,Norwalk,Mobil,"Top 10 Gas Station & Cheap Fuel Prices in Norwalk, CA",,,,,,,4.77,
2026-02-18_14-32-00,Norwalk,76,"Top 10 Gas Station & Cheap Fuel Prices in Norwalk, CA",,,,,,,4.77,
2026-02-18_14-32-00,Norwalk,Soniz,"Top 10 Gas Station & Cheap Fuel Prices in Norwalk, CA",,,,,,,4.77,
2026-02-18_14-32-00,Cerritos,ARCO,12157 Artesia Blvd,4.25,,4.39,,4.89,,,
2026-02-18_14-32-00,Cerritos,ARCO,13363 Artesia Blvd,4.59,,4.39,,4.89,,,
2026-02-18_14-32-00,Cerritos,Chevron,13356 South St,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-32-00,Cerritos,Chevron,17255 Bloomfield Ave,4.69,,4.89,,4.89,,4.79,
2026-02-18_14-32-00,Cerritos,Chevron,11355 Artesia Blvd,4.79,,4.39,,4.89,,,
2026-02-18_14-32-00,Cerritos,Shell,11004 South St,4.95,,4.39,,4.89,,4.79,
2026-02-18_14-32-00,Cerritos,Shell,E85 Fuel Prices,4.25,,4.39,,4.89,,,
2026-02-18_14-32-00,Cerritos,Chevron,E85 Fuel Prices,4.25,,4.39,,4.89,,4.79,
2026-02-18_14-32-00,Fullerton,Sinclair,351 N Placentia Ave,3.85,,4.05,,4.25,,,
2026-02-18_14-32-00,Fullerton,Sinclair,1101 W Commonwealth Ave,3.87,,4.07,,4.17,,4.29,
2026-02-18_14-32-00,Fullerton,ARCO,1202 E Orangethorpe Ave,3.89,,,,,,,
2026-02-18_14-32-00,Fullerton,World,901 N Placentia Ave,3.95,,,,,,,
2026-02-18_14-32-00,Fullerton,Sam's Club,603 S Placentia Ave,3.95,,,,4.28,,,
2026-02-18_14-32-00,Fullerton,ARCO,401 N Placentia Ave,3.95,,4.15,,4.35,,,
2026-02-18_14-32-00,Fullerton,ARCO,2840 E Imperial Hwy,3.95,,4.15,,4.25,,,
2026-02-18_14-32-00,Fullerton,Costco,910 S Harbor Blvd,3.99,,,,4.26,,,
2026-02-18_14-32-00,Fullerton,FUEL UP!,1124 E Chapman Ave,3.99,,4.19,,4.29,,4.79,
2026-02-18_14-32-00,Fullerton,SMP Energy,1133 E Commonwealth Ave,3.99,,4.19,,4.29,,4.79,
2026-02-18_14-32-00,Fullerton,Sinclair,3001 Yorba Linda Blvd,,,4.19,,,,,
2026-02-18_14-32-00,Fullerton,Ralphs,1001 N Harbor Blvd,,,4.19,,4.29,,4.49,
2026-02-18_14-32-00,Fullerton,ARCO,1000 N Harbor Blvd,,,4.19,,4.29,,4.59,
2026-02-18_14-32-00,Fullerton,Mobil,2800 Imperial Hwy,,,4.59,,,,4.69,
2026-02-18_14-32-00,Fullerton,7-Eleven,1000 W Orangethorpe Ave,,,,,,,4.59,
2026-02-18_14-32-00,Fullerton,Mobil,506 N State College Blvd,,,,,,,4.64,
2026-02-18_14-32-00,Fullerton,Chevron,944 W Orangethorpe Ave,,,,,,,4.79,
2026-02-18_14-32-00,Fullerton,Chevron,1201 E Orangethorpe Ave,,,,,,,4.79,
2026-02-18_14-32-00,Brea,Gulf,3300 E Imperial Hwy,3.89,,4.09,,4.19,,4.59,
2026-02-18_14-32-00,Brea,Speedway Express,718 S Brea Blvd,4.15,,4.35,,4.45,,,
2026-02-18_14-32-00,Brea,Speedway Express,120 E Imperial Hwy,4.15,,4.35,,4.45,,4.89,
2026-02-18_14-32-00,Brea,76,1200 E Imperial Hwy,4.35,,4.55,,4.75,,4.69,
2026-02-18_14-32-00,Brea,Shell,365 W Central Ave,4.47,,4.67,,4.81,,4.89,
2026-02-18_14-32-00,Brea,76,1203 W Lambert Rd,4.49,,4.09,,4.99,,4.99,
2026-02-18_14-32-00,Brea,76,798 N Brea Blvd,4.64,,4.89,,4.19,,,
2026-02-18_14-32-00,Brea,76,2405 E Imperial Hwy,4.69,,4.99,,5.09,,4.59,
2026-02-18_14-32-00,Brea,Chevron,700 E Imperial Hwy,4.79,,4.99,,5.17,,5.19,
2026-02-18_14-32-00,Anaheim,OSK Gas,2800 E Lincoln Ave,3.79,,,,4.19,,,
2026-02-18_14-32-00,Anaheim,Excaliber Fuels,1199 S State College Blvd,3.87,,4.07,,4.17,,4.53,
2026-02-18_14-32-00,Anaheim,World,1201 N Harbor Blvd,3.89,,4.09,,4.19,,,
2026-02-18_14-32-00,Anaheim,ARCO,1801 S State College Blvd,3.89,,4.09,,4.29,,4.55,
2026-02-18_14-32-00,Anaheim,ARCO,2445 E Ball Rd,3.89,,4.09,,4.29,,,
2026-02-18_14-32-00,Anaheim,ARCO,2791 E Lincoln Ave,3.89,,,,,,,
2026-02-18_14-32-00,Anaheim,Berri Brothers,2180 W Ball Rd,3.91,,4.11,,4.21,,4.29,
2026-02-18_14-32-00,Anaheim,JZ Oil,1037 W Ball Rd,3.95,,4.15,,,,,
